,Text,Date,retweet_count,favorite_count,is_retweet,Clean_Text,Compound,Formatted_Date,strDate
3958,Russia Syria and Iran are killing or on their way to killing thousands of innocent civilians in Idlib Province. Don’t do it! Turkey is working hard to stop this carnage.,12-26-2019 15:25:12,23085,107098,False,Russia Syria and Iran are killing or on their way to killing thousands of innocent civilians in Idlib Province  Don t do it  Turkey is working hard to stop this carnage ,-0.8832,2019-12-26 15:25:12,2019-12-26
3960,Russia Syria and Iran are killing or on their way to killing thousands if inocent civilians in Idlib Province. Don’t do it! Turkey is working hard to stop this carnage.,12-26-2019 14:12:33,7257,28362,False,Russia Syria and Iran are killing or on their way to killing thousands if inocent civilians in Idlib Province  Don t do it  Turkey is working hard to stop this carnage ,-0.9134,2019-12-26 14:12:33,2019-12-26
4871,....Just finished meetings with Turkey and Germany. Heading to a meeting now with those countries that have met their 2% GOALS followed by meetings with Denmark and Italy....,12-04-2019 14:26:36,9290,44078,False, Just finished meetings with Turkey and Germany  Heading to a meeting now with those countries that have met their   GOALS followed by meetings with Denmark and Italy ,0.0,2019-12-04 14:26:36,2019-12-04
5620,....Also talked about their Border with Syria the eradication of terrorism the ending of hostilities with the Kurds and many other topics. Look forward to seeing President Erdogan next Wednesday November 13th at the @WhiteHouse!,11-06-2019 20:15:58,10092,45174,False, Also talked about their Border with Syria the eradication of terrorism the ending of hostilities with the Kurds and many other topics  Look forward to seeing President Erdogan next Wednesday November  th at the  WhiteHouse ,-0.8398,2019-11-06 20:15:58,2019-11-06
5621,Just had a very good call with President @RTErdogan of Turkey. He informed me that they have captured numerous ISIS fighters that were reported to have escaped during the conflict – including a wife and sister of terrorist killer al Baghdadi….,11-06-2019 20:15:58,16347,68452,False,Just had a very good call with President  RTErdogan of Turkey  He informed me that they have captured numerous ISIS fighters that were reported to have escaped during the conflict   including a wife and sister of terrorist killer al Baghdadi ,-0.8522,2019-11-06 20:15:58,2019-11-06
6021,Turkey fully understands not to fire on the Kurds as they leave what will be known as the Safe Zone for other fairly nearby areas. I don’t have to repeat that large scale Sanctions will be imposed for violations. Going well! ISIS secured by Kurds with Turkey ready as backup.....,10-25-2019 12:32:06,14964,64755,False,Turkey fully understands not to fire on the Kurds as they leave what will be known as the Safe Zone for other fairly nearby areas  I don t have to repeat that large scale Sanctions will be imposed for violations  Going well  ISIS secured by Kurds with Turkey ready as backup ,0.7669,2019-10-25 12:32:06,2019-10-25
6034,The Oil Fields discussed in my speech on Turkey/Kurds yesterday were held by ISIS until the United States took them over with the help of the Kurds. We will NEVER let a reconstituted ISIS have those fields!,10-24-2019 15:25:23,17920,73405,False,The Oil Fields discussed in my speech on Turkey Kurds yesterday were held by ISIS until the United States took them over with the help of the Kurds  We will NEVER let a reconstituted ISIS have those fields ,0.6996,2019-10-24 15:25:23,2019-10-24
6064,Big success on the Turkey/Syria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds are safe and have worked very nicely with us. Captured ISIS prisoners secured. I will be making a statement at 11:00 A.M. from the White House. Thank you!,10-23-2019 12:39:20,21683,80796,False,Big success on the Turkey Syria Border  Safe Zone created  Ceasefire has held and combat missions have ended  Kurds are safe and have worked very nicely with us  Captured ISIS prisoners secured  I will be making a statement at   A M  from the White House  Thank you ,0.9297,2019-10-23 12:39:20,2019-10-23
6093,Good news seems to be happening with respect to Turkey Syria and the Middle East. Further reports to come later!,10-22-2019 22:18:29,21495,100886,False,Good news seems to be happening with respect to Turkey Syria and the Middle East  Further reports to come later ,0.7424,2019-10-22 22:18:29,2019-10-22
6231,Think of how many lives we saved in Syria and Turkey by getting a ceasefire yesterday. Thousands and thousands and maybe many more!,10-18-2019 23:25:50,19690,96323,False,Think of how many lives we saved in Syria and Turkey by getting a ceasefire yesterday  Thousands and thousands and maybe many more ,0.4753,2019-10-18 23:25:50,2019-10-18
6238,.....this thinking years ago. Instead it was always held together with very weak bandaids &amp; in an artificial manner. There is good will on both sides &amp; a really good chance for success. The U.S. has secured the Oil &amp; the ISIS Fighters are double secured by Kurds &amp; Turkey....,10-18-2019 15:42:37,11918,51925,False, this thinking years ago  Instead it was always held together with very weak bandaids   in an artificial manner  There is good will on both sides   a really good chance for success  The U S  has secured the Oil   the ISIS Fighters are double secured by Kurds   Turkey ,0.9198,2019-10-18 15:42:37,2019-10-18
6239,Just spoke to President @RTErdogan of Turkey. He told me there was minor sniper and mortar fire that was quickly eliminated. He very much wants the ceasefire or pause to work. Likewise the Kurds want it and the ultimate solution to happen. Too bad there wasn’t.....,10-18-2019 15:42:37,16519,68128,False,Just spoke to President  RTErdogan of Turkey  He told me there was minor sniper and mortar fire that was quickly eliminated  He very much wants the ceasefire or pause to work  Likewise the Kurds want it and the ultimate solution to happen  Too bad there wasn t ,-0.5106,2019-10-18 15:42:37,2019-10-18
6255,Great news out of Turkey. News Conference shortly with @VP and @SecPompeo. Thank you to @RTErdogan. Millions of lives will be saved!,10-17-2019 17:29:37,26704,103424,False,Great news out of Turkey  News Conference shortly with  VP and  SecPompeo  Thank you to  RTErdogan  Millions of lives will be saved ,0.8655,2019-10-17 17:29:37,2019-10-17
6326,Statement from President Donald J. Trump Regarding Turkey’s Actions in Northeast Syria https://t.co/ZCQC7nzmME,10-14-2019 19:55:09,19366,56986,False,Statement from President Donald J  Trump Regarding Turkey s Actions in Northeast Syria ,0.0,2019-10-14 19:55:09,2019-10-14
6330,After defeating 100% of the ISIS Caliphate I largely moved our troops out of Syria. Let Syria and Assad protect the Kurds and fight Turkey for their own land. I said to my Generals why should we be fighting for Syria....,10-14-2019 19:10:50,20779,85957,False,After defeating   of the ISIS Caliphate I largely moved our troops out of Syria  Let Syria and Assad protect the Kurds and fight Turkey for their own land  I said to my Generals why should we be fighting for Syria ,-0.6249,2019-10-14 19:10:50,2019-10-14
6332,“To his credit the Europeans didn't step up to deal with this ISIS problem – it’s a lot of the reason why we are in this situation today. Now Angela Merkel of Germany is finally stepping up and telling Turkey to back off....,10-14-2019 19:06:17,11732,49284,False, To his credit the Europeans didn t step up to deal with this ISIS problem   it s a lot of the reason why we are in this situation today  Now Angela Merkel of Germany is finally stepping up and telling Turkey to back off ,-0.0258,2019-10-14 19:06:17,2019-10-14
6347,....Kurds may be releasing some to get us involved. Easily recaptured by Turkey or European Nations from where many came but they should move quickly. Big sanctions on Turkey coming! Do people really think we should go to war with NATO Member Turkey? Never ending wars will end!,10-14-2019 11:14:09,14512,56173,False, Kurds may be releasing some to get us involved  Easily recaptured by Turkey or European Nations from where many came but they should move quickly  Big sanctions on Turkey coming  Do people really think we should go to war with NATO Member Turkey  Never ending wars will end ,-0.3287,2019-10-14 11:14:09,2019-10-14
6357,The U.S. has the worst of the ISIS prisoners. Turkey and the Kurds must not let them escape. Europe should have taken them back after numerous requests. They should do it now. They will never come to or be allowed in the United States!,10-13-2019 23:27:49,17802,72747,False,The U S  has the worst of the ISIS prisoners  Turkey and the Kurds must not let them escape  Europe should have taken them back after numerous requests  They should do it now  They will never come to or be allowed in the United States ,-0.7514,2019-10-13 23:27:49,2019-10-13
6368,Dealing with @LindseyGrahamSC and many members of Congress including Democrats about imposing powerful Sanctions on Turkey. Treasury is ready to go additional legislation may be sought. There is great consensus on this. Turkey has asked that it not be done. Stay tuned!,10-13-2019 13:37:43,15101,57014,False,Dealing with  LindseyGrahamSC and many members of Congress including Democrats about imposing powerful Sanctions on Turkey  Treasury is ready to go additional legislation may be sought  There is great consensus on this  Turkey has asked that it not be done  Stay tuned ,0.8777,2019-10-13 13:37:43,2019-10-13
6369,.....The Kurds and Turkey have been fighting for many years. Turkey considers the PKK the worst terrorists of all. Others may want to come in and fight for one side or the other. Let them! We are monitoring the situation closely. Endless Wars!,10-13-2019 13:09:21,14601,62729,False, The Kurds and Turkey have been fighting for many years  Turkey considers the PKK the worst terrorists of all  Others may want to come in and fight for one side or the other  Let them  We are monitoring the situation closely  Endless Wars ,-0.953,2019-10-13 13:09:21,2019-10-13
6370,Do you remember two years ago when Iraq was going to fight the Kurds in a different part of Syria. Many people wanted us to fight with the Kurds against Iraq who we just fought for. I said no and the Kurds left the fight twice. Now the same thing is happening with Turkey......,10-13-2019 13:09:21,18177,77078,False,Do you remember two years ago when Iraq was going to fight the Kurds in a different part of Syria  Many people wanted us to fight with the Kurds against Iraq who we just fought for  I said no and the Kurds left the fight twice  Now the same thing is happening with Turkey ,-0.8834,2019-10-13 13:09:21,2019-10-13
